SID,First Name,Last Name,Name,Section,Email Address,Exam 1 Score,Exam 2 Score,Exam 3 Score,Homework Score,Quiz Score,Final_Score,Final Score,Ceiling Score,Grade
ara97741,Amy,Adams,"Adams, Amy Robert",1,amy.adams@univ.edu,0.87,0.74,0.76,0.7413769841269842,0.7324318818436466,0.7477803582038877,0.7477803582038877,75.0,C
cxa22039,Christina,Allen,"Allen, Christina",1,christina.allen@univ.edu,0.6,0.7,0.67,0.8324324324324325,0.8405797101449275,0.7856468860164513,0.7856468860164513,79.0,C
lxb98047,Lucas,Baldwin,"Baldwin, Lucas",1,lucas.baldwin@univ.edu,0.83,0.74,0.97,0.8567567567567568,0.7212503183091419,0.8200777981954454,0.8200777981954454,83.0,B
wxb12345,Woody,Barrera,"Barrera Jr., Woody",1,woody.barrera_jr@univ.edu,0.86,0.62,0.9,0.8081081081081081,0.6086956521739131,0.7458519388954172,0.7458519388954172,75.0,C
jxb40799,John,Bauer,"Bauer, John",1,john.bauer@univ.edu,0.64,0.88,0.92,0.8432432432432433,0.5942028985507246,0.7735581668625148,0.7735581668625148,78.0,C
djb29817,David,Beck,"Beck, David John",1,david.beck@univ.edu,0.91,0.74,0.65,0.7377579365079365,0.5365087853323148,0.6730558102028691,0.6730558102028691,68.0,D
rjb91830,Richard,Bennett,"Bennett, Richard Jamie",1,richard.bennett@univ.edu,0.66,0.97,0.88,0.8297297297297297,0.6486529157117393,0.7884877666054136,0.7884877666054136,79.0,C
cxd92501,Cameron,Dennis,"Dennis, Cameron",1,cameron.dennis@univ.edu,0.88,0.66,0.68,0.7869087301587301,0.463768115942029,0.6658939268461007,0.6658939268461007,67.0,D
eed42850,Emily,Dudley,"Dudley, Emily Emily",1,emily.dudley@univ.edu,0.96,0.73,0.76,0.8054054054054054,0.5835981665393429,0.7322416121239651,0.7322416121239651,74.0,C
exd72538,Erin,Duffy,"Duffy, Erin",1,erin.duffy@univ.edu,0.85,0.92,0.88,0.740436507936508,0.7264374840845429,0.7806058483999662,0.7806058483999662,79.0,C
rge65208,Richard,Elliott,"Elliott, Richard Gwendolyn",1,richard.elliott@univ.edu,0.66,0.64,0.74,0.754054054054054,0.855072463768116,0.7661433607520565,0.7661433607520565,77.0,C
kxf45205,Katelyn,Faulkner,"Faulkner, Katelyn",1,katelyn.faulkner@univ.edu,0.68,0.6,0.61,0.8081081081081081,0.7971014492753623,0.7478736780258519,0.7478736780258519,75.0,C
txf41578,Tommy,Foster,"Foster, Tommy",1,tommy.foster@univ.edu,0.78,0.88,0.65,0.7743243243243243,0.6588464476699771,0.7318836640307228,0.7318836640307228,74.0,C
jag55224,Jessica,Garza,"Garza, Jessica Allison",1,jessica.garza@univ.edu,0.9,0.79,0.62,0.8120912698412699,0.7681159420289855,0.7722712905452036,0.7722712905452036,78.0,C
mjg41514,Matthew,Gonzalez,"Gonzalez, Matthew Justin",1,matthew.gonzalez@univ.edu,0.78,0.73,0.6,0.8291865079365079,0.7536231884057971,0.7597615596963423,0.7597615596963423,76.0,C
cxg21963,Cynthia,Guzman,"Guzman, Cynthia",1,cynthia.guzman@univ.edu,0.64,0.74,0.66,0.7515119047619048,0.7536231884057971,0.731691718426501,0.731691718426501,74.0,C
jlh15029,John,Harris,"Harris, John Lisa",1,john.harris@univ.edu,0.91,0.9,0.95,0.8621621621621621,0.7771937866055513,0.8560230008465303,0.8560230008465303,86.0,B
cxh80084,Colleen,Hart,"Hart, Colleen",1,colleen.hart@univ.edu,0.68,0.72,0.62,0.7604722222222222,0.6521739130434783,0.6988410628019324,0.6988410628019324,70.0,C
thh29195,Taylor,Hernandez,"Hernandez, Taylor Harold",1,taylor.hernandez@univ.edu,0.92,0.83,0.98,0.7420674603174603,0.7461344537815127,0.7966673202614379,0.7966673202614379,80.0,B
edh14938,Emily,Houston,"Houston, Emily Donna",1,emily.houston@univ.edu,1.0,0.78,0.87,0.7662936507936509,0.7246376811594203,0.7824087646652864,0.7824087646652864,79.0,C
bch39598,Brett,Hunt,"Hunt, Brett Caroline",1,brett.hunt@univ.edu,0.85,0.72,0.89,0.8178214285714285,0.7246376811594203,0.7925198757763975,0.7925198757763975,80.0,B
mxj54725,Michele,Jones,"Jones, Michele",1,michele.jones@univ.edu,1.0,0.82,0.63,0.8621621621621621,0.5362318840579711,0.7322344300822563,0.7322344300822563,74.0,C
dcj14616,Daniel,Jones,"Jones, Daniel Carolyn",1,daniel.jones@univ.edu,0.79,0.68,0.61,0.8094594594594594,0.6481996434937611,0.7172436768319121,0.7172436768319121,72.0,C
txj12345,Traci,Joyce,"Joyce, Traci",1,traci.joyce@univ.edu,1.0,0.84,0.64,0.7859404761904762,0.5942028985507246,0.7226370600414079,0.7226370600414079,73.0,C
pmk49230,Paige,King,"King, Paige Mary",1,paige.king@univ.edu,0.97,0.99,0.63,0.826734126984127,0.8840579710144928,0.8379110420979987,0.8379110420979987,84.0,B
