SID,First Name,Last Name,Name,Section,Email Address,Exam 1 Score,Exam 2 Score,Exam 3 Score,Homework Score,Quiz Score,Final_Score,Final Score,Ceiling Score,Grade
bmb94857,Belinda,Bailey,"Bailey, Belinda Michael",3,belinda.bailey@univ.edu,0.83,0.95,0.87,0.8281865079365078,0.6231884057971014,0.7852311249137336,0.7852311249137336,79.0,C
nsb43944,Nathan,Bates,"Bates, Nathan Stephanie",3,nathan.bates@univ.edu,0.71,0.76,0.82,0.8437936507936508,0.6634886681945507,0.7710640607758256,0.7710640607758256,78.0,C
mxb67936,Michael,Benton,"Benton, Michael",3,michael.benton@univ.edu,0.78,0.91,0.91,0.7703809523809524,0.6376811594202898,0.7659567287784679,0.7659567287784679,77.0,C
bxb28023,Bradley,Bryan,"Bryan, Bradley",3,bradley.bryan@univ.edu,0.96,0.82,0.66,0.8527027027027027,0.7121263050674815,0.7837189726013256,0.7837189726013256,79.0,C
sxc85021,Scott,Cervantes,"Cervantes, Scott",3,scott.cervantes@univ.edu,0.6,1.0,0.89,0.8481984126984127,0.6086956521739131,0.7853880607315391,0.7853880607315391,79.0,C
jgc21028,Jill,Clark,"Clark, Jill Gregg",3,jill.clark@univ.edu,0.62,0.94,0.88,0.8243243243243243,0.6376811594202898,0.7780340775558168,0.7780340775558168,78.0,C
lxd16906,Luke,Davidson,"Davidson, Luke",3,luke.davidson@univ.edu,0.92,0.62,0.6,0.8297297297297297,0.6956521739130435,0.738587544065805,0.738587544065805,74.0,C
rxd55884,Rachel,Dennis,"Dennis, Rachel",3,rachel.dennis@univ.edu,0.72,0.98,0.86,0.7874642857142857,0.558673287496817,0.7455877005347594,0.7455877005347594,75.0,C
axd67070,Amy,Dunn,"Dunn, Amy",3,amy.dunn@univ.edu,0.93,0.96,0.86,0.7864864864864864,0.6981207028265851,0.79553080544257,0.79553080544257,80.0,B
nxe44872,Nicole,Edwards,"Edwards, Nicole",3,nicole.edwards@univ.edu,0.89,0.63,0.65,0.8411746031746032,0.7857957728545963,0.7772085731262202,0.7772085731262202,78.0,C
pxe53402,Patricia,Evans,"Evans, Patricia",3,patricia.evans@univ.edu,0.72,0.91,0.68,0.8006666666666666,0.6158492487904252,0.7340214413037942,0.7340214413037942,74.0,C
jgf12345,Gregg,Flower,"Flower, John Gregg",3,john.g.2.flower@univ.edu,0.72,0.83,0.77,0.7702702702702703,0.6152864782276548,0.7271940515764046,0.7271940515764046,73.0,C
axf16145,Ashlee,Foster,"Foster, Ashlee",3,ashlee.foster@univ.edu,0.73,0.61,0.74,0.8337837837837838,0.8695652173913043,0.8028830787309049,0.8028830787309049,81.0,B
llf55044,Linda,Friedman,"Friedman, Linda Lance",3,linda.friedman@univ.edu,0.64,0.86,0.7,0.8095992063492063,0.6006977336389101,0.7270490026313555,0.7270490026313555,73.0,C
abg77872,April,Greer,"Greer, April Blake",3,april.greer@univ.edu,0.74,0.71,0.94,0.7472972972972973,0.830776674306086,0.7971519212107446,0.7971519212107446,80.0,B
pmj37756,Paul,Johnson,"Johnson, Paul Mark",3,paul.johnson@univ.edu,0.84,0.8,0.94,0.7351351351351352,0.7981767252355487,0.7965070716247187,0.7965070716247187,80.0,B
dxj78877,Dylan,Johnson,"Johnson, Dylan",3,dylan.johnson@univ.edu,0.72,0.64,0.99,0.7376666666666666,0.6521739130434783,0.7392188405797101,0.7392188405797101,74.0,C
rsj94156,Robert,Johnston,"Johnston, Robert Stephanie",3,robert.johnston@univ.edu,0.98,0.61,0.74,0.7594594594594595,0.7101449275362319,0.7378272620446533,0.7378272620446533,74.0,C
sxj49423,Sarah,Jones,"Jones, Sarah",3,sarah.jones@univ.edu,0.89,0.68,0.94,0.7243243243243244,0.9420289855072463,0.8258384253819036,0.8258384253819036,83.0,B
dsl24347,Danielle,Lee,"Lee, Danielle Stephanie",3,danielle.lee@univ.edu,0.62,0.7,0.9,0.822972972972973,0.6231884057971014,0.7521457109283196,0.7521457109283196,76.0,C
tgl37922,Tammy,Leon,"Leon, Tammy Gregory",3,tammy.leon@univ.edu,0.88,0.9,0.87,0.8094594594594594,0.6521739130434783,0.7839359576968272,0.7839359576968272,79.0,C
kxm62826,Kimberly,Mccall,"Mccall, Kimberly",3,kimberly.mccall@univ.edu,0.79,0.98,0.6,0.8378378378378378,0.7557422969187676,0.7893578242107655,0.7893578242107655,79.0,C
axm26865,Anthony,Miller,"Miller, Anthony",3,anthony.miller@univ.edu,0.73,0.68,0.93,0.8,0.7232442067736186,0.7809732620320856,0.7809732620320856,79.0,C
bxm17365,Brett,Miranda,"Miranda, Brett",3,brett.miranda@univ.edu,0.82,0.94,0.95,0.7983888888888889,0.7869467787114846,0.8329395891690009,0.8329395891690009,84.0,B
njp08545,Nicole,Patterson,"Patterson, Nicole Jennifer",3,nicole.patterson@univ.edu,0.96,0.91,0.95,0.8175675675675675,0.7681159420289855,0.8389618096357226,0.8389618096357226,84.0,B
jxp06435,Jeffrey,Perez,"Perez, Jeffrey",3,jeffrey.perez@univ.edu,0.67,0.81,0.95,0.7959459459459459,0.6376811594202898,0.7666827262044653,0.7666827262044653,77.0,C
mxp86000,Melissa,Poole,"Poole, Melissa",3,melissa.poole@univ.edu,0.88,0.97,0.83,0.8476111111111111,0.7246376811594203,0.8219357487922706,0.8219357487922706,83.0,B
rxp56459,Ricardo,Price,"Price, Ricardo",3,ricardo.price@univ.edu,0.68,0.92,0.75,0.8223730158730158,0.8359358288770053,0.8182299550123078,0.8182299550123078,82.0,B
txr84689,Timothy,Ramirez,"Ramirez, Timothy",3,timothy.ramirez@univ.edu,0.84,0.69,0.87,0.8477063492063491,0.5072463768115942,0.732756452726018,0.732756452726018,74.0,C
tbr17292,Troy,Raymond,"Raymond, Troy Bryan",3,troy.raymond@univ.edu,0.91,0.67,1.0,0.8418918918918918,0.5797101449275363,0.7731698002350177,0.7731698002350177,78.0,C
lcr30757,Laura,Reid,"Reid, Laura Clarence",3,laura.reid@univ.edu,0.64,0.86,0.86,0.7089761904761904,0.6811594202898551,0.7349383022774327,0.7349383022774327,74.0,C
cxr98775,Carol,Reyes,"Reyes, Carol",3,carol.reyes@univ.edu,0.99,0.91,0.9,0.8224880952380953,0.6956521739130435,0.8131908902691513,0.8131908902691513,82.0,B
jxr10806,Jason,Reyes,"Reyes, Jason",3,jason.reyes@univ.edu,0.7,0.81,0.86,0.802468253968254,0.6521739130434783,0.7616394755003452,0.7616394755003452,77.0,C
kpr82051,Kimberly,Rhodes,"Rhodes, Kimberly Peter",3,kimberly.rhodes@univ.edu,0.61,0.62,0.97,0.7635135135135135,0.8115942028985508,0.7868836662749706,0.7868836662749706,79.0,C
jsr21334,John,Rodriguez,"Rodriguez, John Sandra",3,john.rodriguez@univ.edu,0.92,0.68,0.89,0.7965515873015873,0.6956521739130435,0.774816287094548,0.774816287094548,78.0,C
sxs30610,Stephanie,Sampson,"Sampson, Stephanie",3,stephanie.sampson@univ.edu,0.87,1.0,0.75,0.833047619047619,0.6238349885408709,0.7763695441813089,0.7763695441813089,78.0,C
fxs77894,Felicia,Simpson,"Simpson, Felicia",3,felicia.simpson@univ.edu,0.63,0.9,0.99,0.8351351351351352,0.7748459383753501,0.8365078355666591,0.8365078355666591,84.0,B
cjs43553,Crystal,Smith,"Smith, Crystal Jason",3,crystal.smith@univ.edu,0.85,0.88,0.6,0.8551666666666667,0.6811594202898551,0.7669144927536233,0.7669144927536233,77.0,C
ajt73762,Amy,Terry,"Terry, Amy Justin",3,amy.terry@univ.edu,0.6,0.81,0.79,0.8337837837837838,0.5362318840579711,0.723883078730905,0.723883078730905,73.0,C
bxt62105,Brandon,Thomas,"Thomas, Brandon",3,brandon.thomas@univ.edu,0.86,0.72,0.65,0.7635135135135135,0.6086956521739131,0.7005141010575793,0.7005141010575793,71.0,C
hxw92728,Heather,Webb,"Webb, Heather",3,heather.webb@univ.edu,1.0,0.61,0.62,0.7013513513513514,0.6521739130434783,0.6801927144535841,0.6801927144535841,69.0,D
alw07647,Amy,White,"White, Amy Leslie",3,amy.white@univ.edu,0.99,0.95,0.99,0.8378378378378378,0.7391304347826086,0.8498742655699177,0.8498742655699177,85.0,B
lkw48972,Levi,Wilkerson,"Wilkerson, Levi Kayla",3,levi.wilkerson@univ.edu,0.71,0.96,0.93,0.7256756756756757,0.867450980392157,0.8215055643879174,0.8215055643879174,83.0,B
